SK_ID_CURR,TARGET
100001,0.07855846225239378
100005,0.1378638998706129
100013,0.08214688492005101
100028,0.08101303034069707
100038,0.13247125621358946
100042,0.064220933572018
100057,0.09432507497498725
100065,0.10937361703994573
100066,0.05515182430785239
100067,0.09381686560002822
100074,0.08042550682127647
100090,0.12492365574383092
100091,0.11774746692441597
100092,0.11034620907747093
100106,0.1328231416548895
100107,0.10367158636499818
100109,0.11234483499286346
100117,0.09172984661181514
100128,0.07420164687711825
100141,0.10712369102042206
100150,0.07947808018812998
100168,0.06653170271259418
100169,0.04988799885710261
100170,0.09061447142002449
100171,0.10866746942766664
100172,0.13405322218678892
100184,0.08374817350545673
100187,0.07134600948119457
100212,0.08783844859341852
100222,0.10285593462978788
100223,0.06379017449698059
100232,0.07499592784330412
100241,0.13572619036463987
100245,0.078754982796255
100253,0.0668873331313502
100256,0.10172976363403126
100271,0.06724674057893382
100278,0.12090748280052546
100280,0.07308347636901641
100306,0.14151757837599516
100311,0.12081444448774642
100312,0.07171710410638386
100330,0.09066461868770109
100331,0.10619474401381591
100352,0.09664113292468085
100358,0.11645416563532973
100367,0.10006995360199697
100382,0.08531852605253944
100384,0.07929599342938032
100385,0.10182798964562469
100386,0.08523090815991156
100399,0.07860785622935894
100404,0.07741383854395764
100416,0.07102695894360957
100422,0.1423232632088345
100426,0.08737891717652806
100438,0.0736116822148931
100444,0.10477829934774938
100445,0.12465402707551858
100446,0.1060425960517895
100447,0.0748087318496017
100450,0.08375509362740301
100466,0.09756016790314494
100483,0.07766815373887861
100484,0.061634709197340216
100494,0.09167802078072287
100510,0.12312824336385357
100512,0.0708544000328617
100517,0.08023384824652458
100548,0.0659140456808179
100551,0.08095731952272717
100552,0.1298509262034246
100553,0.08825493765424168
100561,0.09994153374319374
100568,0.13702593340135266
100569,0.06981198640539778
100591,0.10379371701466275
100592,0.061145427697570365
100602,0.0960495083370829
100607,0.09445603516963959
100613,0.09378989192599536
100617,0.07482055453141938
100618,0.10607503908907462
100622,0.1525105103634848
100625,0.1045155490164874
100677,0.09370063691827735
100699,0.08870376095629334
100702,0.14395286562033796
100711,0.07705128770334814
100729,0.14677384151216366
100740,0.11864548739658827
100744,0.111596978719967
100745,0.10319489424686973
100747,0.10481338450446127
100751,0.11375348342382954
100752,0.09459677670231788
100753,0.14721195270545498
100754,0.11614132550679222
100760,0.11373791563483296
100762,0.10139408888140194
100763,0.08540535002064557
100765,0.08629158277462723
100770,0.09711935359619973
100772,0.08461702791287491
100777,0.08953249777691376
100791,0.07516783683253268
